image_name,gt
train01/1755481546241_44_knob_2.jpeg,off
train01/1755482155791_43_knob_0.jpeg,off
train01/1755482155791_43_knob_1.jpeg,on
train01/1755482155791_43_knob_2.jpeg,on
train01/1755575191065_43_knob_1.jpeg,远方
train01/1755662131282_44_knob_0.jpeg,on
train01/1755662131282_44_knob_1.jpeg,on
train01/1755662131282_44_knob_2.jpeg,on
train01/1755678247370_44_knob_3.jpeg,off
train01/1755684055091_43_knob_0.jpeg,off
train01/1755684055091_43_knob_1.jpeg,off
train01/1755738102398_53_knob_0.jpeg,on
train01/1755738102398_53_knob_1.jpeg,on
train01/1755738102398_53_knob_2.jpeg,on
train01/1755738235302_53_knob_2.jpeg,off
train01/1755738305893_53_knob_3.jpeg,就地
train01/1755738581801_53_knob_2.jpeg,on
train01/1755738581801_53_knob_4.jpeg,on
train01/1755740059488_53_knob_0.jpeg,on
train01/1755740059488_53_knob_1.jpeg,on
train01/1755740059488_53_knob_2.jpeg,on
train01/1755758740655_43_knob_0.jpeg,off
train01/1755920168871_43_knob_0.jpeg,on
train01/1755920168871_43_knob_1.jpeg,off
train01/1755920168871_43_knob_2.jpeg,off
train01/1756194856236_43_knob_1.jpeg,on
train01/1756194856236_43_knob_2.jpeg,on
train01/1756194925715_43_knob_0.jpeg,on
train01/1756194925715_43_knob_1.jpeg,on
train01/1756194925715_43_knob_2.jpeg,on
train01/1756436552855_43_knob_1.jpeg,off
train01/1756436552855_43_knob_4.jpeg,off
train01/1756606672912_44_knob_0.jpeg,on
train01/1756606672912_44_knob_2.jpeg,on
train01/1756607755197_43_knob_0.jpeg,远方
train01/1757124313603_44_knob_1.jpeg,on
train01/1757124313603_44_knob_2.jpeg,on
train01/1757645746692_43_knob_0.jpeg,off
train01/1757645746692_43_knob_1.jpeg,on
train04/VID_20250925_161123_0026_1_1.jpg,local就地
train04/VID_20250925_161123_0030_1_1.jpg,local就地
train04/VID_20250925_161123_0040_1_1.jpg,local就地
train04/VID_20250925_161123_0043_1_1.jpg,local就地
train04/VID_20250926_111733_0001_1_1.jpg,local就地
train04/VID_20250926_111733_0003_1_1.jpg,local就地
train04/VID_20250926_111733_0006_1_1.jpg,local就地
train04/VID_20250926_111733_0008_1_1.jpg,local就地
train04/VID_20250926_111733_0011_1_1.jpg,local就地
train04/VID_20250926_111733_0018_1_1.jpg,local就地
train04/VID_20250926_111733_0030_1_1.jpg,remote远方
train04/VID_20250926_111733_0031_1_1.jpg,remote远方
train04/VID_20250926_111733_0033_1_1.jpg,remote远方
train04/VID_20250926_111733_0038_1_1.jpg,remote远方
train04/VID_20250926_111733_0048_1_1.jpg,remote远方
train04/VID_20250926_111733_0049_1_1.jpg,remote远方
train04/VID_20250926_111733_0056_1_1.jpg,remote远方
train04/VID_20250926_111733_0058_1_1.jpg,remote远方
train04/VID_20250926_111733_0065_1_1.jpg,remote远方
train04/VID_20250926_111733_0069_1_1.jpg,remote远方
train04/VID_20250926_111733_0071_1_1.jpg,remote远方
train04/VID_20250926_111957_0062_1_1.jpg,off
train04/VID_20250926_112122_0002_1_1.jpg,normal正常
train04/VID_20250926_112122_0008_1_1.jpg,normal正常
train04/VID_20250927_163802_0030_1_1.jpg,联锁
train04/VID_20250927_163802_0032_1_1.jpg,就地
train04/VID_20250927_163802_0034_1_1.jpg,就地
train04/VID_20250927_164341_0001_1_2.jpg,on
train04/VID_20250927_164341_0001_1_3.jpg,on
train04/VID_20250927_164341_0003_1_2.jpg,on
train04/VID_20250927_164341_0005_1_2.jpg,on
train04/VID_20250927_164341_0006_1_2.jpg,on
train04/VID_20250927_164413_0008_1_1.jpg,on
train04/VID_20250927_164413_0010_1_1.jpg,on
train04/VID_20250927_164413_0013_1_1.jpg,on
train04/VID_20250927_164413_0015_1_1.jpg,on
train04/VID_20250927_164413_0016_1_1.jpg,on
train04/VID_20250927_164413_0017_1_1.jpg,on
train04/VID_20250927_164413_0018_1_1.jpg,on
train04/VID_20250927_164413_0019_1_1.jpg,on
train04/VID_20250927_164413_0022_1_1.jpg,on
train04/VID_20250927_164413_0023_1_1.jpg,on
train04/VID_20250927_164451_0013_1_1.jpg,off
train04/VID_20250927_164451_0014_1_1.jpg,off
train04/VID_20250927_164451_0015_1_1.jpg,off
train04/VID_20250927_164451_0016_1_1.jpg,off
train04/VID_20250927_164451_0017_1_1.jpg,off
train04/VID_20250927_164547_0001_1_2.jpg,on
train04/VID_20250927_164547_0008_1_1.jpg,on
train04/VID_20250927_164547_0009_1_1.jpg,on
train04/VID_20250927_164547_0013_1_1.jpg,on
train04/VID_20250927_164547_0021_1_1.jpg,on
train04/VID_20250927_164547_0022_1_1.jpg,on
train04/VID_20250927_164547_0024_1_1.jpg,on
train04/VID_20250927_164547_0028_1_1.jpg,on
train04/VID_20250927_164547_0029_1_1.jpg,on
train04/VID_20250927_164547_0032_1_1.jpg,off
train04/VID_20250927_164547_0033_1_1.jpg,off
train04/VID_20250927_164547_0037_1_1.jpg,off
train04/VID_20250927_164547_0040_1_1.jpg,off
train04/VID_20250927_164547_0042_1_1.jpg,off
train04/VID_20250927_164547_0046_1_2.jpg,off
train04/VID_20250927_164634_0012_1_1.jpg,on
train04/VID_20250927_164634_0016_1_1.jpg,on
train04/VID_20250927_164634_0022_1_2.jpg,on
train04/VID_20250927_164634_0032_1_3.jpg,on
